project,test_accuracy,test_loss,asr1,asr2,recall1,recall2
GFL_FMNIST_c10_m1_ps0.2_wrmp10_rd100_g80_clf1_sFalse_l5_th0.05,0.88339,0.39977444444444443,0.15103777777777777,0.08166111111111113,0.6638944444444443,0.8618844444444445
GFL_FMNIST_c10_m1_ps0.4_wrmp10_rd100_g80_clf1_sFalse_l5_th0.05,0.8809811111111112,0.4056355555555556,0.16233555555555554,0.09560666666666667,0.6588744444444444,0.8437233333333333
GFL_FMNIST_c10_m1_ps0.6_wrmp10_rd100_g80_clf1_sFalse_l5_th0.05,0.8830044444444445,0.4054155555555556,0.14675555555555558,0.08083666666666667,0.6610544444444444,0.85771
GFL_FMNIST_c10_m1_ps0.8_wrmp10_rd100_g80_clf1_sFalse_l5_th0.05,0.8837766666666667,0.40525555555555554,0.1438288888888889,0.08507888888888888,0.6598477777777778,0.8514355555555555
GFL_FMNIST_c10_m1_ps1.0_wrmp10_rd100_g80_clf1_sFalse_l5_th0.05,0.8849322222222222,0.4049433333333334,0.15218222222222222,0.07561333333333334,0.6566066666666667,0.85995
GFL_FMNIST_c10_m3_ps0.2_wrmp10_rd100_g80_clf1_sFalse_l5_th0.05,0.8819457142857142,0.3889728571428572,0.15080285714285716,0.08252714285714287,0.6638457142857144,0.8509028571428571
GFL_FMNIST_c10_m3_ps0.4_wrmp10_rd100_g80_clf1_sFalse_l5_th0.05,0.8838057142857142,0.38634142857142856,0.13758142857142858,0.08822571428571428,0.6710428571428572,0.8446
GFL_FMNIST_c10_m3_ps0.6_wrmp10_rd100_g80_clf1_sFalse_l5_th0.05,0.8864085714285714,0.3921185714285714,0.14209285714285716,0.08537428571428571,0.66478,0.8536757142857142
GFL_FMNIST_c10_m3_ps0.8_wrmp10_rd100_g80_clf1_sFalse_l5_th0.05,0.8877714285714287,0.3892357142857143,0.1409257142857143,0.07130857142857143,0.6636614285714285,0.8612842857142857
GFL_FMNIST_c10_m3_ps1.0_wrmp10_rd100_g80_clf1_sFalse_l5_th0.05,0.8846728571428571,0.38676142857142853,0.13123285714285712,0.08817571428571427,0.6833185714285713,0.84715
GFL_FMNIST_c10_m5_ps0.2_wrmp10_rd100_g80_clf1_sFalse_l5_th0.05,0.882292,0.395198,0.137694,0.09135800000000002,0.668484,0.849766
GFL_FMNIST_c10_m5_ps0.4_wrmp10_rd100_g80_clf1_sFalse_l5_th0.05,0.884722,0.39433399999999996,0.13542,0.083122,0.6634260000000001,0.8581679999999998
GFL_FMNIST_c10_m5_ps0.6_wrmp10_rd100_g80_clf1_sFalse_l5_th0.05,0.882118,0.396738,0.130134,0.08516399999999999,0.666016,0.860896
GFL_FMNIST_c10_m5_ps0.8_wrmp10_rd100_g80_clf1_sFalse_l5_th0.05,0.8836780000000001,0.39682399999999995,0.124766,0.093862,0.6862119999999999,0.841994
GFL_FMNIST_c10_m5_ps1.0_wrmp10_rd100_g80_clf1_sFalse_l5_th0.05,0.882986,0.39941799999999994,0.14678,0.08692,0.661476,0.8561719999999999
GFL_FMNIST_c10_m7_ps0.2_wrmp10_rd100_g80_clf1_sFalse_l5_th0.05,0.8859933333333333,0.39546666666666663,0.12909666666666667,0.11848666666666667,0.6809266666666667,0.8247066666666667
GFL_FMNIST_c10_m7_ps0.4_wrmp10_rd100_g80_clf1_sFalse_l5_th0.05,0.8857066666666666,0.3932466666666667,0.13708333333333333,0.10946,0.6640333333333334,0.8302466666666667
GFL_FMNIST_c10_m7_ps0.6_wrmp10_rd100_g80_clf1_sFalse_l5_th0.05,0.8839666666666667,0.3947366666666667,0.11974999999999998,0.09638333333333333,0.6672233333333334,0.83745
GFL_FMNIST_c10_m7_ps0.8_wrmp10_rd100_g80_clf1_sFalse_l5_th0.05,0.88397,0.3824733333333333,0.14040333333333332,0.09743000000000002,0.6615000000000001,0.8484299999999999
GFL_FMNIST_c10_m7_ps1.0_wrmp10_rd100_g80_clf1_sFalse_l5_th0.05,0.8857100000000001,0.39035333333333333,0.12606333333333333,0.10656333333333334,0.6665666666666666,0.8393
GFL_FMNIST_c10_m9_ps0.2_wrmp10_rd100_g80_clf1_sFalse_l5_th0.05,0.8967,0.35142,0.12097,0.10577,0.72581,0.82692
GFL_FMNIST_c10_m9_ps0.4_wrmp10_rd100_g80_clf1_sFalse_l5_th0.05,0.89323,0.35365,0.1371,0.08654,0.69355,0.86538
GFL_FMNIST_c10_m9_ps0.6_wrmp10_rd100_g80_clf1_sFalse_l5_th0.05,0.90191,0.32736,0.09677,0.09615,0.69355,0.84615
GFL_FMNIST_c10_m9_ps0.8_wrmp10_rd100_g80_clf1_sFalse_l5_th0.05,0.90278,0.32572,0.1129,0.09615,0.70968,0.84615
GFL_FMNIST_c10_m9_ps1.0_wrmp10_rd100_g80_clf1_sFalse_l5_th0.05,0.90451,0.33302,0.10484,0.08654,0.70161,0.84615
